tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
303,2019-10-07 07:38:36.7280,2019-10-07 07:43:40.6430,139,Dana Park,42.361780439606044,-71.10809952020645,177,University Park,42.36264779118595,-71.1000609397888,6121,Subscriber,1973,1,63549,-71.10655613997561,42.361769030909045,43477,-71.0984067,42.36433094999999,27516.0,27820.0,True,True
586,2019-10-07 07:39:09.2100,2019-10-07 07:48:55.2890,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,5488,Subscriber,1988,1,174681,-71.11300625171661,42.35767785949782,201816,-71.09322601286955,42.360701286043,27549.0,28135.0,True,True
331,2019-10-07 07:40:40.0330,2019-10-07 07:46:11.7660,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,318,Ames St at Broadway,42.3636929,-71.0875672,4736,Subscriber,1989,1,86413,-71.099551986244,42.358109384514975,259923,-71.0866880959008,42.36212663925436,27640.0,27971.0,True,True
428,2019-10-07 07:41:34.0810,2019-10-07 07:48:42.3510,179,MIT Vassar St,42.35560121327927,-71.10394477844237,107,Ames St at Main St,42.3625,-71.08821999999998,897,Subscriber,1994,1,259992,-71.10410117256987,42.35346788217064,124885,-71.09067026844014,42.36242427898808,27694.0,28122.0,True,True
228,2019-10-07 07:42:04.6140,2019-10-07 07:45:52.9750,107,Ames St at Main St,42.3625,-71.08821999999998,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2317,Subscriber,1997,1,153926,-71.08876883777837,42.364947489248706,4364,-71.09573895777324,42.35871974775266,27724.0,27952.0,True,True
524,2019-10-07 07:45:04.7170,2019-10-07 07:53:48.9160,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861693,2972,Subscriber,1996,2,182641,-71.10132058014909,42.360922273219295,259917,-71.08583953175258,42.36188828648814,27904.0,28428.0,True,True
574,2019-10-07 07:45:10.4310,2019-10-07 07:54:44.6990,179,MIT Vassar St,42.35560121327927,-71.10394477844237,228,One Memorial Drive,42.36161932076685,-71.08043550520959,4973,Subscriber,1988,1,36604,-71.10573217030044,42.35621742069165,4331,-71.08365970942856,42.360740761995956,27910.0,28484.0,True,True
323,2019-10-07 07:50:28.7160,2019-10-07 07:55:52.3330,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.362427842912396,-71.08495473861693,3723,Subscriber,1995,2,201815,-71.09306010155241,42.36038338513815,203985,-71.08662682386243,42.36103454178034,28228.0,28552.0,True,True
246,2019-10-07 07:50:41.2340,2019-10-07 07:54:47.2380,177,University Park,42.36264779118595,-71.1000609397888,179,MIT Vassar St,42.35560121327927,-71.10394477844237,6121,Subscriber,1997,1,191774,-71.0990946188989,42.36514610347157,259988,-71.10080359999999,42.3544471,28241.0,28487.0,True,True
337,2019-10-07 07:50:53.1240,2019-10-07 07:56:30.2460,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4898,Subscriber,1982,1,162289,-71.10440066391115,42.36757389673468,259941,-71.10599361625933,42.35680583755271,28253.0,28590.0,True,True
292,2019-10-07 07:51:04.6780,2019-10-07 07:55:57.0160,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2661,Subscriber,1986,1,60614,-71.09974326955741,42.36494244238817,4323,-71.09477062896336,42.3590493371848,28264.0,28557.0,True,True
